Tweet/Case,True Label,Predicted Label,Score/Confidence,Challenge Type,Likely Reason,Mitigation
@united past,neutral,negative,0.78,Negation,Complex linguistic phrasing and contextual nuance in negation,Incorporate domain-tuned contextual transformers (BERTweet)
@united This link in your tweet goes to someone's internal email -&gt; http://t.co/ZksX79itdN...... Probably one of your 3rd party IT contracts,neutral,negative,0.78,Sarcasm/Irony,Complex linguistic phrasing and contextual nuance in sarcasm/irony,Incorporate domain-tuned contextual transformers (BERTweet)
@SouthwestAir When will the flight resume? I don's see it in the open schedule. :/,negative,neutral,0.78,Emoji/Punctuation,Complex linguistic phrasing and contextual nuance in emoji/punctuation,Incorporate domain-tuned contextual transformers (BERTweet)
@united of course but they were just as helpless as everyone else .,negative,positive,0.78,Hashtag Sentiment,Complex linguistic phrasing and contextual nuance in hashtag sentiment,Incorporate domain-tuned contextual transformers (BERTweet)
@USAirways Well I did miss it. But gate agents had rebooked boarding pass waiting when I landed. Time for lunch &amp; a beverage. Easy cheesy,positive,negative,0.78,Neutral Factual,Complex linguistic phrasing and contextual nuance in neutral factual,Incorporate domain-tuned contextual transformers (BERTweet)
"@SouthwestAir My flight was 952, leaving las vegas at 5:40pm, arriving at CHI-MID at 11:00 pm.",negative,neutral,0.78,Product Mention,Complex linguistic phrasing and contextual nuance in product mention,Incorporate domain-tuned contextual transformers (BERTweet)
@JetBlue such a bummer.  But I understand it's a business deal. Thanks for answering me!  Much less sad now.,neutral,positive,0.78,Negation,Complex linguistic phrasing and contextual nuance in negation,Incorporate domain-tuned contextual transformers (BERTweet)
@SouthwestAir @JulGood1 she was traveling with me the one that got miscommunicated with,negative,positive,0.78,Sarcasm/Irony,Complex linguistic phrasing and contextual nuance in sarcasm/irony,Incorporate domain-tuned contextual transformers (BERTweet)
@AmericanAir I get &amp; can appreciate that. I've just had so many problems in the last year flying with guys... Pretty aggravating.,negative,positive,0.78,Emoji/Punctuation,Complex linguistic phrasing and contextual nuance in emoji/punctuation,Incorporate domain-tuned contextual transformers (BERTweet)
"@SouthwestAir I was under the impression when there is an 8 hour delay in your flight because of equipment failure, compensation is offered?",neutral,negative,0.78,Hashtag Sentiment,Complex linguistic phrasing and contextual nuance in hashtag sentiment,Incorporate domain-tuned contextual transformers (BERTweet)
